"text",label
"How do i stop the membership?",churn
"How do i end the plan?",churn
"Please unsubscribe me from our service.",churn
"Stop membership.",churn
"Restart the background service.",unsure
"End my membership immediately.",churn
"Please don't close the membership.",keep
"How do i close my account?",churn
"How do i cancel our plan?",churn
"Cancel subscription.",churn
"Can you stop the membership?",churn
"How do i end the dev service?",unsure
"I need to close my plan due to budget cuts.",churn
"Please continue my account.",keep
"I want to unsubscribe my subscription.",churn
"Please close my subscription.",churn
"How do i end the vm?",unsure
"Unsubscribe subscription.",churn
"How do i stop the service?",churn
"Close the account.",churn
"Do not close my service.",keep
"Please unsubscribe me from my plan.",churn
"I need to stop our plan due to budget cuts.",churn
"The app crashed and i ended the process.",unsure
"I need to end the subscription due to budget cuts.",churn
"Cancel my membership.",churn
"Please stop our membership.",churn
"Do not unsubscribe me from my membership.",keep
"How do i stop the build?",unsure
"Stop the membership.",churn
"How do i unsubscribe from the membership?",churn
"Unsubscribe plan.",churn
"End the deployment.",unsure
"End the dev service.",unsure
"Keep my membership and renew it automatically.",keep
"Please cancel our subscription.",churn
"Close the preview.",unsure
"How do i close our subscription?",churn
"Terminate my service this week.",churn
"Close the pod.",unsure
"Close the vm.",unsure
"How do i close the plan?",churn
"Please unsubscribe me from my membership this week.",churn
"Stop subscription.",churn
"How do i end the test service?",unsure
"Can you close our membership?",churn
"I need to close our subscription due to budget cuts.",churn
"Please renew my account.",keep
"Cancel our subscription.",churn
"End the database service.",unsure
"I need to terminate the account because I switched providers.",churn
"Terminate the account today.",churn
"End my account today.",churn
"End the membership before renewal.",churn
"How do i unsubscribe from my service?",churn
"Cancel our subscription immediately.",churn
"Please unsubscribe me from my membership.",churn
"I need to stop the account because company policy changed.",churn
"How do i stop the system service?",unsure
"Unsubscribe me from our account.",churn
"How do i close the build?",unsure
"I need to end my account because I switched providers.",churn
"Keep my service and renew it automatically.",keep
"I plan to keep the service.",keep
"How do i end the service?",churn
"Stop the background service.",unsure
"Please don't stop the account.",keep
"How do i terminate my subscription?",churn
"How do i terminate our service?",churn
"Please continue the membership.",keep
"Please terminate my plan.",churn
"Close the thread.",unsure
"How do i terminate our membership?",churn
"Stop the service this week.",churn
"End the thread.",unsure
"Please unsubscribe me from our membership before renewal.",churn
"How do i end the task?",unsure
"I need to close my subscription because I switched providers.",churn
"How do i terminate the service?",churn
"I prefer to keep my subscription as is.",keep
"Please unsubscribe me from our subscription.",churn
"How do i unsubscribe from the plan?",churn
"I want to stop my subscription.",churn
"Cancel our membership today.",churn
"Unsubscribe me from the service because company policy changed.",churn
"Please don't close the subscription.",keep
"Restart the database service.",unsure
"Unsubscribe me from our membership today.",churn
"Close our account.",churn
"Stop the plan.",churn
"I want to keep my account.",keep
"Do not end my account.",keep
"Stop our service before renewal.",churn
"Please continue the account.",keep
"Please renew my plan.",keep
"Do not end my service.",keep
"Do not stop my service.",keep
"How do i end the session?",unsure
"Please unsubscribe me from the service today.",churn
"Unsubscribe membership.",churn
"Cancel service.",churn
"Please keep my subscription active.",keep
"Unsubscribe me from my membership.",churn
"I want to terminate my subscription.",churn
"Please end our membership.",churn
"Stop plan.",churn
"Can you stop my service?",churn
"Cancel membership.",churn
"Do not stop my subscription.",keep
"Should i end the task when it hangs?",unsure
"Cancel our account immediately.",churn
"Do not terminate my membership.",keep
"Do not terminate my account.",keep
"End the vm.",unsure
"Keep my service active.",keep
"End the account.",churn
"Please close the subscription.",churn
"Can you end my subscription?",churn
"Please close our service.",churn
"How do i close the tab?",unsure
"Can you end my service?",churn
"How do i close the account?",churn
"Close the daemon.",unsure
"I'd like to terminate my service.",churn
"I plan to keep the plan.",keep
"Unsubscribe me from the account because company policy changed.",churn
"How do i stop our plan?",churn
"Please don't cancel the service.",keep
"How do i unsubscribe from our account?",churn
"Stop my service.",churn
"Close my service.",churn
"Can you terminate our plan?",churn
"I need to end the account due to budget cuts.",churn
"Where can i download my invoices?",unsure
"Cancel our account.",churn
"Stop the local service.",unsure
"Can you close our service?",churn
"How do i terminate the membership?",churn
"I prefer to keep my service as is.",keep
"Cancel the subscription this week.",churn
"I need to close the account because company policy changed.",churn
"No changes; keep the membership.",keep
"Do not close my membership.",keep
"Close the tab.",unsure
"Please don't stop the membership.",keep
"How do i close the deployment?",unsure
"Please terminate the subscription.",churn
"Close the process.",unsure
"Disable the database service temporarily.",unsure
"Please unsubscribe me from my account today.",churn
"Unsubscribe me from our subscription because I switched providers.",churn
"Can you terminate the service?",churn
"Please end my service.",churn
"How do i stop our subscription?",churn
"Cancel my subscription this week.",churn
"I plan to keep the account.",keep
"I need to end our account because I no longer need it.",churn
"Can you stop our service?",churn
"I would like to cancel my account.",churn
"Close the service.",churn
"Please terminate our plan.",churn
"How do i end the pod?",unsure
"Please end our subscription.",churn
"Please continue my subscription.",keep
"How do i stop our account?",churn
"Stop the database service.",unsure
"How do i close my subscription?",churn
"Do not terminate my subscription.",keep
"Do not close my plan.",keep
"Terminate our membership immediately.",churn
"Stop our membership.",churn
"Do not unsubscribe me from my service.",keep
"Disable the windows service temporarily.",unsure
"Unsubscribe me from the account.",churn
"Do not stop my membership.",keep
"End the pipeline.",unsure
"Please don't close the service.",keep
"Can you end my account?",churn
"Close the plan.",churn
"I need to cancel the plan because I no longer need it.",churn
"How do i end my plan?",churn
"I want to keep my plan.",keep
"Close our plan.",churn
"Keep my account active.",keep
"Can you cancel my plan?",churn
"How do i close the thread?",unsure
"How do i unsubscribe from the account?",churn
"End the job.",unsure
"End account.",churn
"Please keep the account open and confirm.",keep
"Please cancel our account.",churn
"I need to end our subscription due to budget cuts.",churn
"Terminate my subscription.",churn
"Please don't terminate the service.",keep
"Can you end our membership?",churn
"Close the container.",unsure
"I prefer to keep my membership as is.",keep
"Please renew my subscription.",keep
"End our membership.",churn
"Please unsubscribe me from the membership.",churn
"Unsubscribe me from our plan immediately.",churn
"I need to cancel my service because I no longer need it.",churn
"Please don't end the membership.",keep
"Do not cancel my subscription.",keep
"Please keep my account active.",keep
"I want to keep my service.",keep
"Cancel the account immediately.",churn
"Please end my subscription.",churn
"Please end my account.",churn
"How do i terminate our account?",churn
"How do i end the job?",unsure
"Stop the deployment.",unsure
"I need to terminate our account due to budget cuts.",churn
"Please continue the service.",keep
"Please stop the plan.",churn
"I need to stop our account because company policy changed.",churn
"Please continue the subscription.",keep
"Please terminate our account.",churn
"Unsubscribe me from the plan this week.",churn
"Stop the dev service.",unsure
"How do i cancel our account?",churn
"Close plan.",churn
"Please close our membership.",churn
"Do not close my subscription.",keep
"End the container.",unsure
"How do i unsubscribe from our membership?",churn
"I need to cancel our service because company policy changed.",churn
"Stop the system service.",unsure
"How do i stop the job?",unsure
"How do i stop the pipeline?",unsure
"Can you stop the service?",churn
"Please stop our subscription.",churn
"How do i end the instance?",unsure
"Can you close the membership?",churn
"I'd like to close my service.",churn
"Close my account immediately.",churn
"Close the job.",unsure
"End the connection.",unsure
"How do i cancel my plan?",churn
"Do not terminate my plan.",keep
"Please keep the service open and confirm.",keep
"Disable the dev service temporarily.",unsure
"Please don't stop the plan.",keep
"How do i close the task?",unsure
"How do i stop the pod?",unsure
"Please cancel the service.",churn
"Can you cancel our membership?",churn
"How do i end the windows service?",unsure
"How do i stop my membership?",churn
"Stop the daemon.",unsure
"End the service immediately.",churn
"How do i close the container?",unsure
"I need to close my membership because I no longer need it.",churn
"End my subscription.",churn
"How do i close the daemon?",unsure
"How do i end our plan?",churn
"I need to terminate the plan because company policy changed.",churn
"Close our membership.",churn
"Stop service.",churn
"How do i stop our service?",churn
"How do i cancel my service?",churn
"How do i close the process?",unsure
"Do not stop my plan.",keep
"Unsubscribe me from our service today.",churn
"End my service before renewal.",churn
"Do not stop my account.",keep
"Please cancel my account.",churn
"How do i end my membership?",churn
"How do i change my password?",unsure
"Please end our plan.",churn
"Please terminate the service.",churn
"How do i end my service?",churn
"Stop the session.",unsure
"How do i end the pipeline?",unsure
"Please unsubscribe me from the plan.",churn
"How do i end the process?",unsure
"Please close our subscription.",churn
"Please don't stop the subscription.",keep
"Please continue my membership.",keep
"Please cancel my subscription.",churn
"Please don't end the plan.",keep
"Please end our service.",churn
"How do i end the background service?",unsure
"How do i stop the task?",unsure
"How do i stop the process?",unsure
"Please renew my service.",keep
"Please don't end the service.",keep
"Terminate our account before renewal.",churn
"End the test service.",unsure
"No changes; keep the plan.",keep
"Stop the job.",unsure
"I need to cancel our subscription because I switched providers.",churn
"Stop the subscription before renewal.",churn
"How do i stop the deployment?",unsure
"How do i terminate my account?",churn
"Please don't unsubscribe me from the subscription.",keep
"Please end my plan.",churn
"I need to close the service due to budget cuts.",churn
"Close the window.",unsure
"How do i terminate my service?",churn
"Terminate subscription.",churn
"My 2fa code is not arriving.",unsure
"Stop the pipeline.",unsure
"End plan.",churn
"Please keep the membership open and confirm.",keep
"Can you stop my subscription?",churn
"I need to stop the plan because I switched providers.",churn
"Stop my subscription.",churn
"Do not unsubscribe me from my account.",keep
"Please close my membership.",churn
"End the process.",unsure
"Please stop our account.",churn
"Disable the local service temporarily.",unsure
"How do i stop the vm?",unsure
"I need to cancel our account because company policy changed.",churn
"Unsubscribe me from my membership immediately.",churn
"How do i terminate the plan?",churn
"Can you terminate the account?",churn
